player,age,team,position,games_played,fg_made,fg_attempt,fg_percent,three_made,three_attempt,three_percent,ft_made,ft_attempt,ft_percent,rebound,assist,steal,block,turnover,point
David Roddy,23,ATL,PF,27,44,93,0.473,16,43,0.372,18,22,0.818,70,30,12,8,20,122
David Roddy,23,PHI,PF,3,8,19,0.421,2,11,0.182,0,0,,9,3,2,0,1,18
David Roddy,23,HOU,PF,3,5,13,0.385,1,7,0.143,2,4,0.5,5,2,0,1,1,13
Jordan Miller,25,LAC,SF,37,58,134,0.433,8,38,0.211,28,35,0.8,58,34,17,5,26,152
Trevelin Queen,27,ORL,SG,31,56,147,0.381,22,77,0.286,18,21,0.857,54,38,31,10,22,152
Wendell Moore Jr.,23,2TM,SG,36,59,126,0.468,14,41,0.341,18,22,0.818,95,42,20,5,27,150
Wendell Moore Jr.,23,DET,SG,20,23,50,0.46,4,14,0.286,13,14,0.929,44,23,10,3,9,63
Wendell Moore Jr.,23,CHO,SG,16,36,76,0.474,10,27,0.37,5,8,0.625,51,19,10,2,18,87
Bones Hyland,24,2TM,PG,24,47,118,0.398,32,82,0.39,23,26,0.885,25,32,18,4,25,149
Bones Hyland,24,LAC,PG,20,45,115,0.391,31,80,0.388,23,26,0.885,24,28,18,4,24,144
Bones Hyland,24,MIN,PG,4,2,3,0.667,1,2,0.5,0,0,,1,4,0,0,1,5
Dominick Barlow,21,ATL,SF,35,60,113,0.531,7,27,0.259,21,33,0.636,85,19,9,16,5,148
Doug McDermott,33,SAC,SF,42,50,117,0.427,44,101,0.436,3,5,0.6,22,7,4,2,6,147
Jarred Vanderbilt,25,LAL,PF,36,59,121,0.488,9,32,0.281,20,36,0.556,182,41,35,10,29,147
Gary Harris,30,ORL,SG,48,51,133,0.383,36,101,0.356,7,12,0.583,64,30,26,12,17,145
Bismack Biyombo,32,SAS,C,28,67,114,0.588,0,0,,10,25,0.4,158,31,16,23,27,144
Keion Brooks Jr.,24,NOP,SF,14,53,109,0.486,14,43,0.326,22,30,0.733,58,13,10,10,12,142
Ousmane Dieng,21,OKC,C,37,54,125,0.432,23,71,0.324,11,16,0.688,81,31,17,7,18,142
Devin Carter,22,SAC,PG,36,47,127,0.37,18,61,0.295,26,44,0.591,76,41,21,4,18,138
Luka Garza,26,MIN,C,39,52,105,0.495,10,36,0.278,24,35,0.686,54,11,6,3,12,138
