player,age,team,position,games_played,fg_made,fg_attempt,fg_percent,three_made,three_attempt,three_percent,ft_made,ft_attempt,ft_percent,rebound,assist,steal,block,turnover,point
Cody Williams,20,UTA,SG,50,83,257,0.323,35,135,0.259,29,40,0.725,113,59,23,16,44,230
Reed Sheppard,20,HOU,PG,52,84,239,0.351,48,142,0.338,13,16,0.813,78,75,35,17,37,229
Gui Santos,22,GSW,PF,56,82,179,0.458,34,103,0.33,29,42,0.69,172,80,25,10,42,227
Steven Adams,31,HOU,C,58,91,167,0.545,0,2,0,43,93,0.462,327,66,22,28,54,225
AJ Johnson,20,2TM,SG,29,82,213,0.385,24,90,0.267,32,37,0.865,59,76,12,3,35,220
AJ Johnson,20,MIL,SG,7,8,19,0.421,3,5,0.6,1,2,0.5,7,7,1,0,4,20
AJ Johnson,20,WAS,SG,22,74,194,0.381,21,85,0.247,31,35,0.886,52,69,11,3,31,200
Rob Dillingham,20,MIN,PG,49,93,211,0.441,25,74,0.338,8,15,0.533,50,98,20,1,53,219
Blake Wesley,21,SAS,SG,58,81,186,0.435,17,58,0.293,38,61,0.623,61,114,37,6,54,217
Pat Connaughton,32,MIL,SG,41,83,177,0.469,26,81,0.321,24,31,0.774,109,70,9,11,24,216
GG Jackson II,20,MEM,PF,29,74,199,0.372,32,95,0.337,29,40,0.725,92,29,12,5,31,209
DeAndre Jordan,36,DEN,C,56,91,140,0.65,0,0,,27,64,0.422,284,53,16,27,40,209
Herbert Jones,26,NOP,SF,20,75,172,0.436,22,72,0.306,33,40,0.825,78,65,37,9,35,205
Larry Nance Jr.,32,ATL,PF,24,80,155,0.516,34,76,0.447,9,13,0.692,103,38,20,13,16,203
Olivier-Maxence Prosper,22,DAL,PF,52,70,174,0.402,12,51,0.235,49,76,0.645,126,40,26,6,14,201
Jock Landale,29,HOU,C,42,81,152,0.533,11,26,0.423,27,40,0.675,137,37,13,10,21,200
Jalen Pickett,25,DEN,SG,49,77,180,0.428,40,101,0.396,6,8,0.75,71,107,19,5,24,200
Kai Jones,24,2TM,C,40,87,109,0.798,1,5,0.2,23,32,0.719,125,25,15,23,18,198
Kai Jones,24,LAC,C,28,26,36,0.722,0,2,0,9,12,0.75,46,10,6,13,10,61
Kai Jones,24,DAL,C,12,61,73,0.836,1,3,0.333,14,20,0.7,79,15,9,10,8,137
Mouhamed Gueye,22,ATL,PF,33,72,171,0.421,21,81,0.259,32,42,0.762,139,27,28,33,15,197
Jamal Cain,25,NOP,SF,37,68,158,0.43,26,80,0.325,34,50,0.68,85,22,23,9,22,196
Collin Gillespie,25,PHO,PG,33,68,158,0.43,39,90,0.433,19,22,0.864,78,78,21,5,17,194
Duop Reath,28,POR,C,46,70,166,0.422,34,106,0.321,20,22,0.909,92,26,12,14,16,194
Craig Porter Jr.,24,CLE,PG,51,72,140,0.514,21,48,0.438,23,32,0.719,67,71,17,15,38,188
